;;"Attention: Spelling errors in the German text must be corrected here AND in the program ! Otherwise the text is not recognized the next time ;-(";"Leading and tailing space characters are importand. Also make sure that qouotes are placed correctly at the beginning or end of a message.
The '|' is used to mark a new line.";"Version 0.96 by Misha (English, Dutch, French)
Translated with Goolgle!";"Translated with Goolgle!
Not checked";"Translated with Goolgle!
Not checked";"Translated with Goolgle!
Not checked";"Translated with Goolgle!
Not checked"
Type;Param;German;English;Nederlands (Dutch);French;Italian;Spain;Dänemark
Cell;D1;DE;GB;NL;FR;IT;ES;DNK
Cell;B2;Aktiv;Activ;Actief;Activement;Activ;Activ;Activ
Cell;C2;Filter;Filter;Filter;Filtre;Filter;Filter;Filter
Cell_DCC;D2;Adresse oder Name;Address or name;Adres of naam;Adresse ou nom;Indirizzo o nome;Dirección o nombre;Adresse eller navn
Cell_DCC;E2;Typ;Type;Type;type;English;Type;Type
Cell_DCC;F2;Start- wert;Start- val;Start- waarde;"Valeur |
de départ";Start- val;Start- val;Start
Cell_DCC;G2;Beschreibung;Description;Beschrijving;Description;Description;Description;Beskrivelse
Cell_DCC;H2;Verteiler- Nummer;Distribution- number;Verdeler nummer;Numéro de distribution;Distribution- number;Distribution- number;Distributionsnummer
Cell_DCC;I2;Stecker- Nummer;Connector- number;Slot nummer;Numéro de connecteur;Connector- number;Connector- number;Forbindelsesnummer
Cell_DCC;J2;Beleuchtung, Sound, oder andere Effekte;Lighting, sound, or other effects;Verlichting, geluid of andere effecten;Éclairage, son ou autres effets;Lighting, sound, or other effects;Lighting, sound, or other effects;Belysning, lyd eller andre effekter
Cell_DCC;K2;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr
Cell_DCC;L2;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs
Cell_DCC;M2;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt
Cell_DCC;N2;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh
Cell_SX;D2;Channel oder Name [0..99];Channel or name [0..99];Kanaal of naam [0..99];Chaîne ou nom [0..99];Canale o nome [0..99];Canal o nombre [0..99];Kanal eller navn [0..99]
Cell_SX;E2;Bitposition [1..8];Bit position [1..8];Bitpositie [1..8];Position du bit [1..8];Bit position [1..8];Bit position [1..8];Bitposition [1..8]
Cell_SX;F2;Typ;Type;Type;Type;English;Type;Type
Cell_SX;G2;Start- wert;Start- val;Startwaarde;Valeur de départ;Start- val;Start- val;Start
Cell_SX;H2;Beschreibung;Description;Beschrijving;Description;Description;Description;Beskrivelse
Cell_SX;I2;Verteiler- Nummer;Distribution- number;Distributienummer;Numéro de distribution;Distribution- number;Distribution- number;Distributionsnummer
Cell_SX;J2;Stecker- Nummer;Connector- number;Connector nummer;Numéro de connecteur;Connector- number;Connector- number;Forbindelsesnummer
Cell_SX;K2;Beleuchtung, Sound, oder andere Effekte;Lighting, sound, or other effects;Verlichting, geluid of andere effecten;Éclairage, son ou autres effets;Lighting, sound, or other effects;Lighting, sound, or other effects;Belysning, lyd eller andre effekter
Cell_SX;L2;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr
Cell_SX;M2;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs
Cell_SX;N2;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt
Cell_SX;O2;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh
Cell_CAN;D2;Adresse oder Name;Address or name;Adres of naam;Adresse ou nom;Indirizzo o nome;Dirección o nombre;Adresse eller navn
Cell_CAN;E2;Typ;Type;Type;Type;English;Type;Type
Cell_CAN;F2;Start- wert;Start- val;Startwaarde;Valeur de départ;Start- val;Start- val;Start
Cell_CAN;G2;Beschreibung;Description;Beschrijving;Description;Description;Description;Beskrivelse
Cell_CAN;H2;Verteiler- Nummer;Distribution- number;Distributienummer;Numéro de distribution;Distribution- number;Distribution- number;Distributionsnummer
Cell_CAN;I2;Stecker- Nummer;Connector- number;Connector nummer;Numéro de connecteur;Connector- number;Connector- number;Forbindelsesnummer
Cell_CAN;J2;Beleuchtung, Sound, oder andere Effekte;Lighting, sound, or other effects;Verlichting, geluid of andere effecten;Éclairage, son ou autres effets;Lighting, sound, or other effects;Lighting, sound, or other effects;Belysning, lyd eller andre effekter
Cell_CAN;K2;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr;Start LedNr
Cell_CAN;L2;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs;LEDs
Cell_CAN;M2;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt;InCnt
Cell_CAN;N2;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh;Loc InCh
;;;;;;;;
;_Range_;;;;;;;
Comment;B2;"Mit dieser Spalte kann man eine Zeile (zu Testzwecken) deaktivieren. 
Zeilen welche mit dem ""Aus- oder Einblenden"" Knopf oder dem Autofilter ausgeblendet sind werden ebenfalls nicht benutzt.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"Met deze kolom kunt u een regel deactiveren (voor testdoeleinden). Lijnen die verborgen zijn met de knop ""Verbergen of Tonen"" of het automatische filter worden ook niet gebruikt.";"Avec cette colonne, vous pouvez désactiver une ligne (à des fins de test). Les lignes masquées avec le bouton ""Masquer ou afficher"" ou le filtre automatique ne sont pas non plus utilisées.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"With this column you can deactivate a line (for test purposes).
Lines which are hidden with the ""Hide or Show"" button or the auto filter are also not used.";"Med denne kolonne kan du deaktivere en linje (til testformål). Linjer, der er skjult med knappen ""Skjul eller vis"", eller autofiltret bruges heller ikke."
Comment;C2;Diese Spalte kann zum Filtern nach bestimmten Gruppen benutzt werden. Für jede Gruppe kann hier ein gleicher Wert eingetragen werden. Dann kann man mit dem Autofilter bestimmte Gruppen aktivieren.;This column can be used to filter by certain groups. The same value can be entered here for each group. Then you can activate certain groups with the autofilter.;Deze kolom kan worden gebruikt om op bepaalde groepen te filteren. Voor elke groep kan hier dezelfde waarde worden ingevoerd. Vervolgens kunt u bepaalde groepen activeren met het autofilter.;Cette colonne peut être utilisée pour filtrer par certains groupes. La même valeur peut être entrée ici pour chaque groupe. Ensuite, vous pouvez activer certains groupes avec le filtre automatique.;This column can be used to filter by certain groups. The same value can be entered here for each group. Then you can activate certain groups with the autofilter.;This column can be used to filter by certain groups. The same value can be entered here for each group. Then you can activate certain groups with the autofilter.;Denne kolonne kan bruges til at filtrere efter bestemte grupper. Den samme værdi kan indtastes her for hver gruppe. Derefter kan du aktivere bestemte grupper med autofilteren.
Comment;D2;"Hier wird die DCC Adresse zwischen 1 und 10240 eingetragen. Achtung nicht alle Zentralen unterstützen Adressen > 9999.
Alternativ kann hier ein Schalter (z.B. ""SwitchB7"") oder eine selbst definierte Variable (z.B. ""HausA"") eingetragen werden.";"The DCC address between 1 and 10240 is entered here. Attention, not all control panels support addresses> 9999. 
Alternatively, a switch (e.g. ""SwitchB7"") or a self-defined variable (e.g. ""HausA"") can be entered here.";"Hier wordt het DCC-adres tussen 1 en 10240 ingevoerd. Let op, niet alle centrales ondersteunen adressen> 9999. 
Als alternatief kan hier een schakelaar (bijv. ""SwitchB7"") of een zelf gedefinieerde variabele (bijv. ""HausA"") worden ingevoerd.";"L'adresse DCC entre 1 et 10240 est entrée ici. Attention, tous les panneaux de commande ne prennent pas en charge les adresses> 9999. 
Vous pouvez également saisir ici un commutateur (par exemple ""SwitchB7"") ou une variable auto-définie (par exemple ""HausA"").";"L'indirizzo DCC compreso tra 1 e 10240 viene inserito qui. Attenzione, non tutti i pannelli di controllo supportano indirizzi> 9999. 
In alternativa, qui è possibile inserire uno switch (ad es. ""SwitchB7"") o una variabile definita dall'utente (ad es. ""HausA"").";"Aquí se ingresa la dirección DCC entre 1 y 10240. Atención, no todos los paneles de control admiten direcciones> 9999. 
Alternativamente, aquí se puede ingresar un interruptor (por ejemplo, ""SwitchB7"") o una variable autodefinida (por ejemplo, ""HausA"").";"DCC-adressen mellem 1 og 10240 indtastes her. Bemærk, ikke alle kontrolpaneler understøtter adresser> 9999. Alternativt kan der indtastes en switch (f.eks. ""SwitchB7"") eller en selvdefineret variabel (f.eks. ""HausA"")."
Comment_DCC;E2;"Typ des Eingangs:
AnAus, Rot, Grün";"Type of input:
OnOff, red, green";Invoertype: Aan/Uit, Rood, Groen;Type d'entrée: OnOff, rouge, vert;"Type of input:
OnOff, red, green";"Type of input:
OnOff, red, green";Type input: OnOff, rød, grøn
Comment_DCC;F2;"Definiert den Startwert des Eingangskanals nachdem die Versorgungsspannung eingeschaltet wurde. Er ist gültig bis die entsprechende DCC Nachricht empfangen wird.

Ist die automatische Speicherung des Letztzustandes aktiviert kann durch Eingabe von '0'  die Zustandsspeicherung für diese Zeile deaktiviert werden. 
Durch Eingabe von '*'  wird die Zustandsspeicherung für diese Zeile erzwungen, sofern die Funktion einen Zustand speichern kann, die Standardeinstellung dies aber deaktiviert (z.B. alle Counter mit Timeout).";"Defines the start value of the input channel after the supply voltage has been switched on. It is valid until the corresponding DCC message is received.

If the automatic storage of the last state is activated, the state storage for this line can be deactivated by entering '0'. Entering '*' will force the state to be saved for this line, provided the function can save a state, but the default setting deactivates it (e.g. all counters with a timeout).";"Definieert de startwaarde van het ingangskanaal nadat de voedingsspanning is ingeschakeld. Het is geldig tot het corresponderende DCC-bericht is ontvangen. 

Als de automatische opslag van de laatste status is geactiveerd, kan de statusopslag voor deze regel worden gedeactiveerd door '0' in te voeren. Als u '*' invoert, wordt de status voor deze regel opgeslagen, op voorwaarde dat de functie een status kan opslaan, maar de standaardinstelling deactiveert deze (bijvoorbeeld alle tellers met een time-out).";"Définit la valeur de démarrage du canal d'entrée après la mise sous tension de l'alimentation. Il est valable jusqu'à la réception du message DCC correspondant. 

Si la mémorisation automatique du dernier état est activée, la mémorisation de l'état de cette ligne peut être désactivée en entrant «0». La saisie de '*' forcera l'enregistrement de l'état pour cette ligne, à condition que la fonction puisse enregistrer un état, mais le paramètre par défaut le désactive (par exemple, tous les compteurs avec un délai d'expiration).";"Definisce il valore iniziale del canale di ingresso dopo l'accensione della tensione di alimentazione. È valido fino alla ricezione del corrispondente messaggio DCC. 

Se la memorizzazione automatica dell'ultimo stato è attivata, la memorizzazione dello stato per questa linea può essere disattivata inserendo '0'. L'immissione di '*' imporrà il salvataggio dello stato per questa linea, a condizione che la funzione possa salvare uno stato, ma l'impostazione predefinita lo disattiva (ad es. Tutti i contatori con un timeout).";"Define el valor de inicio del canal de entrada después de que se haya conectado la tensión de alimentación. Es válido hasta que se reciba el mensaje DCC correspondiente. 

Si se activa el almacenamiento automático del último estado, el almacenamiento de estado para esta línea se puede desactivar ingresando '0'. Al ingresar '*', se forzará el estado para que se guarde para esta línea, siempre que la función pueda guardar un estado, pero la configuración predeterminada lo desactiva (por ejemplo, todos los contadores con un tiempo de espera).";Definerer startværdien for indgangskanalen, efter at forsyningsspændingen er tændt. Den er gyldig, indtil den tilsvarende DCC-meddelelse modtages. Hvis den automatiske lagring af den sidste tilstand er aktiveret, kan statuslageret for denne linje deaktiveres ved at indtaste '0'. Indtastning af '*' tvinger den stat, der gemmes for denne linje, forudsat at funktionen kan gemme en tilstand, men standardindstillingen deaktiverer den (f.eks. Alle tællere med en timeout).
Comment_DCC;G2;Hier sollte ein beliebiger Text zur Dokumentation eingegeben werden damit man sich später wieder zurechtfindet. Mit Alt+Enter kann mit einer neuen Zeile begonnen werden.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;"Alle tekst voor documentatie moet hier worden ingevoerd, zodat u later de weg kunt vinden. 
U kunt een nieuwe regel starten met Alt+Enter.";Tout texte pour la documentation doit être entré ici afin que vous puissiez vous repérer plus tard. Vous pouvez commencer une nouvelle ligne avec Alt Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;Any text for documentation should be entered here so that you can find your way around later. You can start a new line with Alt + Enter.;All tekst til dokumentation skal indtastes her, så du kan finde vej senere. Du kan starte en ny linje med Alt Enter.
Comment_DCC;H2;In dieser Spalte kann eine Nummer oder eine Bezeichnung des Verteilers eingetragen werden an dem die LEDs angeschlossen sind.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;In deze kolom kan een nummer of een aanduiding van de verdeler worden ingevoerd waarop de LED's zijn aangesloten.;Un numéro ou une désignation du distributeur auquel les LED sont connectées peut être entré dans cette colonne.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;A number or a designation of the distributor board to which the LEDs are connected can be entered in this column.;Et nummer eller en betegnelse på fordelerkortet, som LED'erne er forbundet til, kan indtastes i denne kolonne.
