Liste der in der MobaLedLib verfügbaren Macros;;;;;;;;;;;L;;.\Icons;;;Test Language:;-1;;;09.08.2019;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Typ;Mode;LEDs or LED Channel;InCnt;OutCnt;Loc InCh;Tmp8Bit;SingleLEDCnt;Default Channel;Type;List Sort;Tree Sort;TreeView Mode;Picture Names;Macro;Find Name for detection of actual macro;Name;Group Names;Makroname in Deutsch;Kurzbeschreibung;Ausführliche Beschreibung;"Group Names
Englisch";"Macro name
English";"Kurzbeschreibung
English";"Ausführliche Beschreibung
English";"Group Names
Dutch";"Macro name
Dutch";"Kurzbeschreibung
Dutch";"Ausführliche Beschreibung
Dutch";"Group Names
French";"Macro name
French";"Kurzbeschreibung
French";"Ausführliche Beschreibung
French";"Group Names
Italian";"Macro name
Italian";"Kurzbeschreibung
Italian";"Ausführliche Beschreibung
Italian";"Group Names
Spain";"Macro name
Spain";"Kurzbeschreibung
Spain";"Ausführliche Beschreibung
Spain";"Group Names
Dänish";"Macro name
Dänish";"Kurzbeschreibung
Dänish";"Ausführliche Beschreibung
Dänisch"
;;Cx;1;0;0;0;1;;;1;5;;| LightBulb | Single_LEDs;Const(LED, Cx, InCh, Val0, Val1);Const(;Const;Licht | Lichteffekte;LED einstellbar;LED welche, gesteuert von InCh, dauerhaft An oder Aus ist.;"LED welche, gesteuert von InCh, dauerhaft An oder Aus ist.|Mit der Funktion können einzelne LEDs oder bis zu drei LEDs geschaltet werden.|Die Helligkeit im Zustand ""Aus"" und ""An"" kann separat eingestellt werden. ";Light | Light effects;Constant LED;LED which is permanently on or off controlled by InCh.;"LED which is permanently on or off controlled by InCh.| The function can be used to switch individual LEDs or up to three LEDs. | The brightness in the ""Off"" and ""On"" state can be set separately.";Licht | Lichteffecten;Constante LED;LED die, geregeld door InCh, permanent aan of uit is.;"LED die, geregeld door ""InCh"", permanent aan of uit is. | De functie kan worden gebruikt om afzonderlijke LED's of maximaal drie LED's te schakelen. | De helderheid in de status ""Uit"" en ""Aan"" kan afzonderlijk worden ingesteld.";Léger | Effets de lumière;LED constante;LED qui, contrôlée par «InCh», est allumée ou éteinte en permanence.;LED qui, contrôlée par «InCh», est allumée ou éteinte en permanence. | La fonction peut être utilisée pour commuter des LED individuelles ou jusqu'à trois LED. | La luminosité à l'état «Off» et «On» peut être réglée séparément.;Leggero | Effetti di luce;LED costante;"LED che, controllato da ""InCh"", è permanentemente acceso o spento.";"LED che, controllato da ""InCh"", è permanentemente acceso o spento. | La funzione può essere utilizzata per commutare singoli LED o fino a tre LED. | La luminosità nello stato ""Off"" e ""On"" può essere impostata separatamente.";Luz | Efectos de luz;LED constante;"LED que, controlado por ""InCh"", está permanentemente encendido o apagado.";"LED que, controlado por ""InCh"", está permanentemente encendido o apagado. El | La función se puede usar para cambiar LED individuales o hasta tres LED. El | El brillo en el estado ""Apagado"" y ""Encendido"" se puede configurar por separado.";Lys | Lyseffekter;Konstant LED;LED, der er permanent tændt eller slukket styret af InCh.;"LED, der er permanent tændt eller slukket styret af InCh. | Funktionen kan bruges til at skifte individuelle LED'er eller op til tre LED'er. | Lysstyrken i tilstanden ""Fra"" og ""Til"" kan indstilles separat."
;;1;1;0;0;0;;;;2;6;;| LightBulb | RGB_LED;ConstRGB(LED, InCh, R0, G0, B0, R1, G1, B1);ConstRGB(;ConstRGB;Licht | Lichteffekte;RGB-LED einstellbar;RGB LED welche, gesteuert von InCh, dauerhaft An oder Aus ist.;"LED welche, gesteuert von InCh, dauerhaft An oder Aus ist.| Mit der Funktion können die drei Farben Rot, Grün und Blau für die Zustände ""Aus"" und ""Ein"" getrennt eingestellt werden.";Light | Light effects;Constant RGB LED;RGB LED which is permanently on or off controlled by InCh.;"RGB LED which is permanently on or off controlled by InCh.| With the function the three colors red, green and blue can be set separately for the states ""Off"" and ""On"".";Licht | Lichteffecten;Constante RGB-LED;RGB-led die, aangestuurd door InCh, permanent aan of uit is.;"LED die, bestuurd door InCh, permanent aan of uit is. | Met de functie kunnen de drie kleuren rood, groen en blauw apart worden ingesteld voor de toestanden ""Uit"" en ""Aan"".";Léger | Effets de lumière;LED RVB constante;LED RGB qui, contrôlée par «InCh», est allumée ou éteinte en permanence.;"LED qui, contrôlée par «InCh», est allumée ou éteinte en permanence. | Avec la fonction, les trois couleurs rouge, vert et bleu peuvent être définies séparément pour les états ""Off"" et ""On"".";Leggero | Effetti di luce;LED RGB costante;"LED RGB che, controllato da ""InCh"", è permanentemente acceso o spento.";"LED che, controllato da ""InCh"", è permanentemente acceso o spento. | Con la funzione i tre colori rosso, verde e blu possono essere impostati separatamente per gli stati ""Off"" e ""On"".";Luz | Efectos de luz;LED RGB constante;"LED RGB que, controlado por ""InCh"", está permanentemente encendido o apagado.";"LED que, controlado por ""InCh"", está permanentemente encendido o apagado. El | Con la función, los tres colores rojo, verde y azul se pueden configurar por separado para los estados ""Apagado"" y ""Encendido"".";Lys | Lyseffekter;Konstant RGB LED;RGB LED, der er permanent tændt eller slukket kontrolleret af InCh.;"RGB LED, der er permanent tændt eller slukket kontrolleret af InCh. | Med funktionen kan de tre farver rød, grøn og blå indstilles separat for tilstande ""Fra"" og ""Til""."
House;;n;1;0;0;0;;0;;3;2;;LightBulb | House;House(         LED,InCh, On_Min,On_Limit, ...);House(;House;Licht;Belebtes Haus;Mit dieser Funktion wird ein belebtes Haus nachgebildet. ;Mit dieser Funktion wird ein belebtes Haus nachgebildet. In diesem Haus sind zufällig nur einige der Räume beleuchtet. Die Farbe und die Helligkeit der Beleuchtungen können individuell vorgegeben werden. Es lassen sich auch bestimmte Effekte wie Fernseher flackern oder ein offener Kamin für einzelne Räume konfigurieren. Außerdem kann das Einschaltverhalten angepasst werden (Neonröhrenflackern oder langsam heller werdende Gaslampen).;Light;Busy house;"This function simulates a ""busy"" house.";"This function simulates a ""busy"" house. Only a few of the rooms in this house happen to be illuminated. The color and brightness of the lighting can be specified individually. You can also flicker certain effects such as TVs or configure an open fireplace for individual rooms. The switch-on behavior can also be adjusted (neon tube flickering or slowly lighting gas lamps).";Licht;Druk huis;"Deze functie simuleert een ""druk"" huis.";"Deze functie simuleert een ""druk"" huis. Slechts een paar van de kamers in dit huis zijn toevallig verlicht. De kleur en helderheid van de verlichting kunnen afzonderlijk worden ingesteld. U kunt ook bepaalde effecten flikkeren, zoals tv's of een open haard voor individuele kamers configureren. Het inschakelgedrag kan ook worden aangepast (neonbuis flikkert of langzaam gaslampen verlicht).";Léger;Maison occupée;"Cette fonction simule une maison ""occupée"".";"Cette fonction simule une maison ""occupée"". Seules quelques-unes des pièces de cette maison sont éclairées. La couleur et la luminosité de l'éclairage peuvent être spécifiées individuellement. Vous pouvez également faire clignoter certains effets tels que les téléviseurs ou configurer une cheminée à foyer ouvert pour des pièces individuelles. Le comportement d'allumage peut également être ajusté (scintillement du tube néon ou allumage lent des lampes à gaz).";Leggero;Casa occupata;"Questa funzione simula una casa ""occupata"".";"Questa funzione simula una casa ""occupata"". Solo alcune delle stanze di questa casa sono illuminate. Il colore e la luminosità dell'illuminazione possono essere specificati individualmente. Puoi anche sfarfallare determinati effetti come i televisori o configurare un camino aperto per le singole stanze. È inoltre possibile regolare il comportamento dell'accensione (sfarfallio del tubo al neon o illuminazione lenta delle lampade a gas).";Luz;Casa ocupada;"Esta función simula una casa ""ocupada"".";"Esta función simula una casa ""ocupada"". Solo algunas de las habitaciones de esta casa están iluminadas. El color y el brillo de la iluminación se pueden especificar individualmente. También puede parpadear ciertos efectos como televisores o configurar una chimenea abierta para habitaciones individuales. El comportamiento de encendido también se puede ajustar (parpadeo del tubo de neón o iluminación lenta de las lámparas de gas).";Lys;Travlt hus;"Denne funktion simulerer et ""travlt"" hus.";"Denne funktion simulerer et ""travlt"" hus. Kun et par af værelserne i dette hus bliver tilfældigvis oplyst. Belysningens farve og lysstyrke kan specificeres individuelt. Du kan også flimre visse effekter, såsom tv'er eller konfigurere en åben pejs til individuelle værelser. Tændingsadfærden kan også justeres (neonrørs flimrende eller langsomt tændende gaslamper)."
House;;n;1;0;0;0;;;;4;3;;| Streetlight;GasLights(     LED,InCh, ...);GasLights(;GasLights;Licht;Straßenbeleuchtung;Simuliert das Einschaltverhalten und Flackern von gasbetriebenen Straßenlaternen.;Die Laternen gehen nicht gleichzeitig sondern zufällig nacheinander an und werden dann langsam heller bis sie die volle Helligkeit erreichen. Außerdem ist ein zufälliges Flackern implementiert.|Angesteuert werden die Lampen von WS2811 Chips. Bei Glühbirnen wird sind alle drei Ausgänge parallelgeschaltet, bei LED Lampen steuert ein IC drei Lampen. In der Konfiguration muss die Reihenfolge ..1., ..2., ..3. verwendet werden. Das sorgt dafür, dass das Programm nacheinander die Ausgänge eines WS2811 Chips benutzt und nicht zum nächsten Kanal wechselt. Das angehängte D an den Lampenbezeichnungen bedeutet Dunkel. Diese Lampen leuchten dunkler als die Anderen.;Light;Gas lamps;Simulates the switch-on behavior and flickering of gas-powered street lamps.;"The lanterns do not come on at the same time but randomly one after the other and then slowly become brighter until they reach full brightness. Random flickering is also implemented. | The lamps are controlled by WS2811 chips. With light bulbs, all three outputs are connected in parallel, with LED lamps an IC controls three lamps. In the configuration, the order ..1., ..2., ..3. be used. This ensures that the program uses the outputs of a WS2811 chip one after the other and does not switch to the next channel. The appended ""D"" to the lamp names means ""dark"". These lamps shine darker than the others.";Licht;Gaslampen;Simuleert het inschakelgedrag en het flikkeren van straatlantaarns op gas.;"De lantaarns gaan niet tegelijkertijd aan, maar willekeurig na elkaar en worden dan langzaam helderder totdat ze de volledige helderheid bereiken. Willekeurig flikkeren is ook geïmplementeerd. | De lampen worden bestuurd door WS2811-chips. Met gloeilampen zijn alle drie uitgangen parallel verbonden, met LED-lampen bestuurt een IC drie lampen. In de configuratie, de volgorde ..1., ..2., ..3. kan worden gebruikt. Dit zorgt ervoor dat het programma de uitgangen van een WS2811-chip na elkaar gebruikt en niet naar het volgende kanaal schakelt. De toegevoegde ""D"" aan de lampnamen betekent ""donker"". Deze lampen schijnen donkerder dan de anderen.";Léger;Lampes à gaz;Simule le comportement d'allumage et le scintillement des lampadaires à gaz.;"Les lanternes ne s'allument pas en même temps mais au hasard les unes après les autres, puis s'éclaircissent lentement jusqu'à atteindre leur pleine luminosité. Un scintillement aléatoire est également implémenté. | Les lampes sont contrôlées par des puces WS2811. Avec les ampoules, les trois sorties sont connectées en parallèle, avec les lampes LED, un IC contrôle trois lampes. Dans la configuration, la commande ..1., ..2., ..3. peut être utilisé. Cela garantit que le programme utilise les sorties d'une puce WS2811 l'une après l'autre et ne passe pas au canal suivant. Le ""D"" ajouté aux noms des lampes signifie ""sombre"". Ces lampes brillent plus foncées que les autres.";Leggero;Lampade a gas;Simula il comportamento all'accensione e lo sfarfallio dei lampioni a gas.;"Le lanterne non si accendono contemporaneamente ma casualmente una dopo l'altra e poi lentamente diventano più luminose fino a raggiungere la piena luminosità. Lo sfarfallio casuale è anche implementato. | Le lampade sono controllate da chip WS2811. Con le lampadine, tutte e tre le uscite sono collegate in parallelo, con lampade a LED e un IC controlla tre lampade. Nella configurazione, l'ordine ..1., ..2., ..3. essere utilizzato. Ciò garantisce che il programma utilizzi le uscite di un chip WS2811 uno dopo l'altro e non passi al canale successivo. La ""D"" aggiunta ai nomi delle lampade significa ""scuro"". Queste lampade brillano più scure delle altre.";Luz;Lámparas de gas;Simula el comportamiento de encendido y el parpadeo de las farolas a gas.;"Las linternas no se encienden al mismo tiempo, sino aleatoriamente una tras otra y luego se vuelven más brillantes hasta que alcanzan el brillo total. El parpadeo aleatorio también se implementa. El | Las lámparas están controladas por chips WS2811. Con las bombillas, las tres salidas están conectadas en paralelo, con lámparas LED y un IC controla tres lámparas. En la configuración, el orden ..1., ..2., ..3. ser usado. Esto asegura que el programa use las salidas de un chip WS2811 una tras otra y no cambie al siguiente canal. La ""D"" adjunta a los nombres de las lámparas significa ""oscuro"". Estas lámparas brillan más oscuras que las demás.";Lys;Gaslamper;Simulerer tændingsopførsel og flimring af gassdrevne gadelamper.;"Lykterne tændes ikke på samme tid, men tilfældigt den ene efter den anden og bliver derefter langsomt lysere, indtil de når fuld lysstyrke. Tilfældig flimring implementeres også. | Lamperne styres af WS2811-chips. Med lyspærer er alle tre udgange parallelt forbundet, med LED-lamper styrer en IC tre lamper. I konfigurationen er rækkefølgen ..1., ..2., ..3. bruges. Dette sikrer, at programmet bruger udgange fra en WS2811-chip efter hinanden og ikke skifter til den næste kanal. Den vedhæftede ""D"" til lampenavne betyder ""mørk"". Disse lamper lyser mørkere end de andre."
;;;;;;;;;;5;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ColTab;;;0;0;0;0;;;;6;83;;LightBulb | Rainbow | CIElab;Set_ColTab(    r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r11,g11,b11,r12,g12,b12,r13,g13,b13,r14,g14,b14,r15,g15,b15,r16,g16,b16);Set_ColTab(;Set_ColTab;Licht | Farbeinstellungen;Farbe und Helligkeit einstellen;Mit dem Makro Set_ColTab() kann man die Farben und Helligkeiten der Lampen individuell anpassen. ;Mit dem Makro Set_ColTab() kann man die Farben und Helligkeiten der Lampen individuell anpassen. Dazu wird das CheckColor Programm von Harold gestartet mit dem man die Farben und Helligkeiten verändern und Live zum Arduino schicken kann.;Light | Color settings;Adjust color and brightness;"With the macro ""Set_ColTab ()"" you can individually adjust the colors and brightness of the lamps.";"With the macro ""Set_ColTab ()"" you can individually adjust the colors and brightness of the lamps. The CheckColor program from Harold is started with which you can change the colors and brightness and send it live to the Arduino.";Licht | Kleurinstellingen;Kleur en helderheid aanpassen;"Met de macro ""Set_ColTab ()"" kunt u de kleuren en helderheid van de lampen afzonderlijk aanpassen.";"Met de macro ""Set_ColTab ()"" kunt u de kleuren en helderheid van de lampen afzonderlijk aanpassen. Het CheckColor-programma van Harold is gestart waarmee u de kleuren en helderheid kunt wijzigen en live naar de Arduino kunt sturen.";Léger | Paramètres de couleur;Ajuster la couleur et la luminosité;"Avec la macro ""Set_ColTab ()"" vous pouvez ajuster individuellement les couleurs et la luminosité des lampes.";"Avec la macro ""Set_ColTab ()"" vous pouvez ajuster individuellement les couleurs et la luminosité des lampes. Le programme CheckColor par Harold est démarré avec lequel vous pouvez changer les couleurs et la luminosité et l'envoyer en direct à l'Arduino.";Leggero | Impostazioni colore;Regola colore e luminosità;"Con la macro ""Set_ColTab ()"" è possibile regolare individualmente i colori e la luminosità delle lampade.";"Con la macro ""Set_ColTab ()"" è possibile regolare individualmente i colori e la luminosità delle lampade. Viene avviato il programma CheckColor di Harold con il quale è possibile modificare i colori e la luminosità e inviarlo dal vivo ad Arduino.";Luz | Configuraciones de color;Ajustar el color y el brillo;"Con la macro ""Set_ColTab ()"" puede ajustar individualmente los colores y el brillo de las lámparas.";"Con la macro ""Set_ColTab ()"" puede ajustar individualmente los colores y el brillo de las lámparas. Se inicia el programa CheckColor de Harold con el que puede cambiar los colores y el brillo y enviarlo en vivo al Arduino.";Lys | Farveindstillinger;Juster farve og lysstyrke;"Med makroen ""Set_ColTab ()"" kan du justere lampernes farver og lysstyrke individuelt.";"Med makroen ""Set_ColTab ()"" kan du justere lampernes farver og lysstyrke individuelt. CheckColor-programmet fra Harold startes, hvor du kan ændre farver og lysstyrke og sende det live til Arduino."
;;;1;0;0;0;;;;7;84;;LightBulb | Rainbow | TVcolor;Set_TV_COL1(   InCh, Update_t_Min, Update_t_Max, Min_Brightness, Max_Brightness, R_Min, R_Max, G_Min, G_Max, B_Min, B_Max);Set_TV_COL1(;Set_TV_COL1;Licht | Farbeinstellungen;Farb-TV Kanal 1 einstellen;Definiert die Simulation des Farb TV Kanals 1;Definiert die Simulation des Farb TV Kanals. Damit können die Häufigkeiten der Bildwechsel, die Helligkeitswechsel und die Farbwechsel eingestellt werden. Damit können Action Filme, statische Inhalte, Fußball Übertragungen,  simuliert werden. Es ist auch möglich, das die Einstellungen per DCC Kommandos ausgewählt werden.;Light | Color settings;Set color TV channel 1;Defines the simulation of the color TV channel 1;Defines the simulation of the color TV channel. The frequencies of the image changes, the brightness changes and the color changes can thus be set. It can be used to simulate action films, static content, football broadcasts, ... It is also possible that the settings are selected using DCC commands.;Licht | Kleurinstellingen;Stel kleuren-tv-kanaal 1 in;Bepaalt de simulatie van het kleuren-tv-kanaal 1;Bepaalt de simulatie van het kleuren-tv-kanaal. De frequenties van het beeld veranderen, de helderheid verandert en de kleur verandert dus. Het kan worden gebruikt om actiefilms, statische inhoud, voetbaluitzendingen te simuleren, ... Het is ook mogelijk dat de instellingen worden geselecteerd met behulp van DCC-opdrachten.;Léger | Paramètres de couleur;Régler la chaîne TV couleur 1;Définit la simulation de la chaîne TV couleur 1;Définit la simulation de la chaîne TV couleur. Les fréquences de l'image changent, la luminosité change et les changements de couleur peuvent ainsi être réglés. Il peut être utilisé pour simuler des films d'action, du contenu statique, des émissions de football, ... Il est également possible que les paramètres soient sélectionnés à l'aide des commandes DCC.;Leggero | Impostazioni colore;Impostare il canale TV a colori 1;Definisce la simulazione del canale TV a colori 1;Definisce la simulazione del canale TV a colori. In tal modo è possibile impostare le frequenze dell'immagine, i cambiamenti di luminosità e i cambiamenti di colore. Può essere usato per simulare film d'azione, contenuti statici, trasmissioni calcistiche, ... È anche possibile che le impostazioni vengano selezionate usando i comandi DCC.;Luz | Configuraciones de color;Configurar el canal de TV en color 1;Define la simulación del canal de televisión en color 1;Define la simulación del canal de televisión en color. Las frecuencias de la imagen cambian, el brillo cambia y los cambios de color se pueden configurar. Se puede utilizar para simular películas de acción, contenido estático, transmisiones de fútbol, ??... También es posible que la configuración se seleccione mediante comandos DCC.;Lys | Farveindstillinger;Indstil farve-tv-kanal 1;Definerer simulering af farve-tv-kanal 1;Definerer simuleringen af ??farve-tv-kanalen. Billedets frekvenser ændres, lysstyrken ændres og farveændringerne kan således indstilles. Det kan bruges til at simulere actionfilm, statisk indhold, fodboldudsendelser, ... Det er også muligt, at indstillingerne vælges vha. DCC-kommandoer.
;;;1;0;0;0;;;;8;85;;LightBulb | Rainbow | TVcolor;Set_TV_COL2(   InCh, Update_t_Min, Update_t_Max, Min_Brightness, Max_Brightness, R_Min, R_Max, G_Min, G_Max, B_Min, B_Max);Set_TV_COL2(;Set_TV_COL2;Licht | Farbeinstellungen;Farb-TV Kanal 2 einstellen;Definiert die Simulation des Farb TV Kanals 2;Definiert die Simulation des Farb TV Kanals. Damit können die Häufigkeiten der Bildwechsel, die Helligkeitswechsel und die Farbwechsel eingestellt werden. Damit können Action Filme, statische Inhalte, Fußball Übertragungen,  simuliert werden. Es ist auch möglich, das die Einstellungen per DCC Kommandos ausgewählt werden.;Light | Color settings;Set color TV channel 2;Defines the simulation of the color TV channel 2;Defines the simulation of the color TV channel. The frequencies of the image changes, the brightness changes and the color changes can thus be set. It can be used to simulate action films, static content, football broadcasts, ... It is also possible that the settings are selected using DCC commands.;Licht | Kleurinstellingen;Stel kleuren-tv-kanaal 2 in;Bepaalt de simulatie van het kleuren-tv-kanaal 2;Bepaalt de simulatie van het kleuren-tv-kanaal. De frequenties van het beeld veranderen, de helderheid verandert en de kleur verandert dus. Het kan worden gebruikt om actiefilms, statische inhoud, voetbaluitzendingen te simuleren, ... Het is ook mogelijk dat de instellingen worden geselecteerd met behulp van DCC-opdrachten.;Léger | Paramètres de couleur;Régler la chaîne TV couleur 2;Définit la simulation de la chaîne TV couleur 2;Définit la simulation de la chaîne TV couleur. Les fréquences de l'image changent, la luminosité change et les changements de couleur peuvent ainsi être réglés. Il peut être utilisé pour simuler des films d'action, du contenu statique, des émissions de football, ... Il est également possible que les paramètres soient sélectionnés à l'aide des commandes DCC.;Leggero | Impostazioni colore;Impostare il canale TV a colori 2;Definisce la simulazione del canale TV a colori 2;Definisce la simulazione del canale TV a colori. In tal modo è possibile impostare le frequenze dell'immagine, i cambiamenti di luminosità e i cambiamenti di colore. Può essere usato per simulare film d'azione, contenuti statici, trasmissioni calcistiche, ... È anche possibile che le impostazioni vengano selezionate usando i comandi DCC.;Luz | Configuraciones de color;Establecer el canal de TV en color 2;Define la simulación del canal de televisión en color 2;Define la simulación del canal de televisión en color. Las frecuencias de la imagen cambian, el brillo cambia y los cambios de color se pueden configurar. Se puede utilizar para simular películas de acción, contenido estático, transmisiones de fútbol, ??... También es posible que la configuración se seleccione mediante comandos DCC.;Lys | Farveindstillinger;Indstil farve-tv-kanal 2;Definerer simulering af farve-tv-kanal 2;Definerer simuleringen af ??farve-tv-kanalen. Billedets frekvenser ændres, lysstyrken ændres og farveændringerne kan således indstilles. Det kan bruges til at simulere actionfilm, statisk indhold, fodboldudsendelser, ... Det er også muligt, at indstillingerne vælges vha. DCC-kommandoer.
;;;1;0;0;0;;;;9;86;;LightBulb | Rainbow | TVbw;Set_TV_BW1(    InCh, Update_t_Min, Update_t_Max, Min_Brightness, Max_Brightness, BW_R, BW_G, BW_B);Set_TV_BW1(;Set_TV_BW1;Licht | Farbeinstellungen;S/W-TV Kanal 1 einstellen;Definiert die Simulation des Schwarz-Weiß TV Kanals 1;Definiert die Simulation des Schwarz-Weiß TV Kanals. Damit können die Häufigkeiten der Bildwechsel, die Helligkeitswechsel und Anteile der verwendeten Farben  eingestellt werden. Damit kann das typisch bläuliche Licht eines alten Fernsehers erzeugt werden. Es ist auch möglich, das die Einstellungen per DCC Kommandos ausgewählt werden. So kann auch zwischen Farb- und SW Sendungen gewechselt werden.;Light | Color settings;Set b / w TV channel 1;Defines the simulation of the black and white TV channel 1;Defines the simulation of the black and white TV channel. This enables the frequency of the image changes, the brightness changes and the proportions of the colors used to be set. This enables the typical blue light of an old television to be created. It is also possible that the settings are selected using DCC commands. So you can also switch between color and black and white programs.;Licht | Kleurinstellingen;Set z / w TV-kanaal 1;Bepaalt de simulatie van het zwart-witte tv-kanaal 1;Bepaalt de simulatie van het zwart-witte tv-kanaal. Hiermee kunnen de frequentie van de afbeelding, de helderheid en de verhoudingen van de kleuren worden ingesteld. Hierdoor kan het typische blauwe licht van een oude televisie worden gecreëerd. Het is ook mogelijk dat de instellingen worden geselecteerd met behulp van DCC-opdrachten. U kunt dus ook schakelen tussen kleurprogramma's en zwart-witprogramma's.;Léger | Paramètres de couleur;Régler la chaîne TV n/b 1;Définit la simulation de la chaîne de télévision en noir et blanc 1;Définit la simulation de la chaîne de télévision en noir et blanc. Les fréquences de l'image changent, la luminosité change et les proportions des couleurs utilisées peuvent être définies. Cela permet de créer la lumière bleue typique d'un vieux téléviseur. Il est également possible que les paramètres soient sélectionnés à l'aide des commandes DCC. Vous pouvez donc également basculer entre les programmes couleur et noir et blanc.;Leggero | Impostazioni colore;Imposta canale TV b/n 1;Definisce la simulazione del canale TV in bianco e nero 1;Definisce la simulazione del canale TV in bianco e nero. Ciò consente di impostare la frequenza dei cambiamenti dell'immagine, i cambiamenti di luminosità e le proporzioni dei colori utilizzati. Ciò consente di creare la tipica luce blu di un vecchio televisore. È anche possibile che le impostazioni siano selezionate usando i comandi DCC. Quindi puoi anche alternare tra i programmi a colori e quelli in bianco e nero.;Luz | Configuraciones de color;Establecer canal de TV en blanco y negro 1;Define la simulación del canal de televisión en blanco y negro 1;Define la simulación del canal de televisión en blanco y negro. Esto permite que la frecuencia de los cambios de imagen, el brillo cambie y las proporciones de los colores que solía establecerse. Esto permite crear la típica luz azul de un televisor antiguo. También es posible que la configuración se seleccione utilizando comandos DCC. Por lo tanto, también puede cambiar entre programas de color y blanco y negro.;Lys | Farveindstillinger;Indstil sort/hvid TV-kanal 1;Definerer simuleringen af ??den sort / hvide tv-kanal 1;Definerer simuleringen af ??den sort / hvide tv-kanal. Dette muliggør frekvensen af ??billedændringer, lysstyrkeændringerne og proportioner af de anvendte farver. Dette gør det muligt at oprette det typiske blå lys fra et gammelt tv. Det er også muligt, at indstillingerne vælges vha. DCC-kommandoer. Så du kan også skifte mellem farver og sort / hvid-programmer.
;;;1;0;0;0;;;;10;87;;LightBulb | Rainbow | TVbw;Set_TV_BW2(    InCh, Update_t_Min, Update_t_Max, Min_Brightness, Max_Brightness, BW_R, BW_G, BW_B);Set_TV_BW2(;Set_TV_BW2;Licht | Farbeinstellungen;S/W-TV Kanal 2 einstellen;Definiert die Simulation des Schwarz-Weiß TV Kanals 2;Definiert die Simulation des Schwarz-Weiß TV Kanals. Damit können die Häufigkeiten der Bildwechsel, die Helligkeitswechsel und Anteile der verwendeten Farben  eingestellt werden. Damit kann das typisch bläuliche Licht eines alten Fernsehers erzeugt werden. Es ist auch möglich, das die Einstellungen per DCC Kommandos ausgewählt werden. So kann auch zwischen Farb- und SW Sendungen gewechselt werden.;Light | Color settings;Set b / w TV channel 2;Defines the simulation of the black and white TV channel 2;Defines the simulation of the black and white TV channel. This enables the frequency of the image changes, the brightness changes and the proportions of the colors used to be set. This enables the typical blue light of an old television to be created. It is also possible that the settings are selected using DCC commands. So you can also switch between color and black and white programs.;Licht | Kleurinstellingen;Set z / w TV-kanaal 2;Bepaalt de simulatie van het zwart-witte tv-kanaal 2;Bepaalt de simulatie van het zwart-witte tv-kanaal. Hiermee kunnen de frequentie van de afbeelding, de helderheid en de verhoudingen van de kleuren worden ingesteld. Hierdoor kan het typische blauwe licht van een oude televisie worden gecreëerd. Het is ook mogelijk dat de instellingen worden geselecteerd met behulp van DCC-opdrachten. U kunt dus ook schakelen tussen kleurprogramma's en zwart-witprogramma's.;Léger | Paramètres de couleur;Régler la chaîne TV n/b 2;Définit la simulation de la chaîne de télévision en noir et blanc 2;Définit la simulation de la chaîne de télévision en noir et blanc. Les fréquences de l'image changent, la luminosité change et les proportions des couleurs utilisées peuvent être définies. Cela permet de créer la lumière bleue typique d'un vieux téléviseur. Il est également possible que les paramètres soient sélectionnés à l'aide des commandes DCC. Vous pouvez donc également basculer entre les programmes couleur et noir et blanc.;Leggero | Impostazioni colore;Imposta canale TV b/n 2;Definisce la simulazione del canale TV in bianco e nero 2;Definisce la simulazione del canale TV in bianco e nero. Ciò consente di impostare la frequenza dei cambiamenti dell'immagine, i cambiamenti di luminosità e le proporzioni dei colori utilizzati. Ciò consente di creare la tipica luce blu di un vecchio televisore. È anche possibile che le impostazioni siano selezionate usando i comandi DCC. Quindi puoi anche alternare tra i programmi a colori e quelli in bianco e nero.;Luz | Configuraciones de color;Establecer canal de TV en blanco y negro 2;Define la simulación del canal de televisión en blanco y negro 2;Define la simulación del canal de televisión en blanco y negro. Esto permite que la frecuencia de los cambios de imagen, el brillo cambie y las proporciones de los colores que solía establecerse. Esto permite crear la típica luz azul de un televisor antiguo. También es posible que la configuración se seleccione utilizando comandos DCC. Por lo tanto, también puede cambiar entre programas de color y blanco y negro.;Lys | Farveindstillinger;Indstil sort/hvid TV-kanal 2;Definerer simuleringen af ??den sort / hvide tv-kanal 2;Definerer simuleringen af ??den sort / hvide tv-kanal. Dette muliggør frekvensen af ??billedændringer, lysstyrkeændringerne og proportioner af de anvendte farver. Dette gør det muligt at oprette det typiske blå lys fra et gammelt tv. Det er også muligt, at indstillingerne vælges vha. DCC-kommandoer. Så du kan også skifte mellem farver og sort / hvid-programmer.
