;;"Attention: Spelling errors in the German text must be corrected here AND in the program ! Otherwise the text is not recognized the next time ;-(";"Leading and tailing space characters are importand. Also mace sude that qouotes are placed correctly at the bebinning or end of a message.
The '|' is used to mark a new line.";Version 0.7 by Misha;Version 0.7 by Misha;;;
Type;Param;German;English;Nederlands (Dutch);French;;;
Cell;D2;Erste RGB LED: ;First RGB LED: ;Eerste RGB LED: ;Première LED RVB:;;;
Cell;D3;Startkanal der RGB LED: ;Start channel first RGB LED: ;Start kanaal eerste RGB LED: ;Canal de démarrage de la LED RVB:;;;
Cell;D4;Schalter Nummer: ;Switch number: ;Schakelaar nummer: ;Numéro de commutateur:;;;
Cell;D5;Anzahl der Ausgabe Kanäle: ;Number of output channels: ;Aantal uitgangs kanalen: ;Nombre de canaux de sortie:;;;
Cell;D6;Bits pro Wert: ;Bits per value: ;Aantal Bits per waarde: ;Bits par valeur:;;;
Cell;D7;Wert Min: ;Minimal value: ;Minimale waarde: ;Valeur min:;;;
Cell;D8;Wert Max: ;Maximal value: ;Maximale waarde: ;Valeur max:;;;
Cell;D9;Wert ausgeschaltet: ;Value off: ;Uitgeschakelde waarde: ;Valeur désactivée:;;;
Cell;D10;Mode: ;Mode: ;Modus: ;Mode:;;;
Cell;D11;Analoges Überblenden: ;Analog fading: ;Analoge regeling: ;Fondu enchaîné analogique:;;;
Cell;D12;Goto Mode: ;Goto mode: ;Goto modus: ;Mode Goto:;;;
Cell;D13;Goto Aktivierung: ;Goto activation:;Goto aktivering: ;Goto activé:;;;
Cell;D14;Grafische Anzeige: ;Grafical display: ;Grafische weergave: ;Affichage graphique:;;;
Cell;D15;Spezial Mode: ;Special mode: ;Speciale modus: ;Mode spécial:;;;
Cell;D16;RGB Modul Nummer: ;RGB module number: ;RGB module nummer: ;Numéro de module RVB:;;;
Cell;D17;Charlieplexing LED Zuordnung: ;Charlieplexing LED assignement: ;Charlieplexing LED toewijzing: ;Cartographie LED Charlieplexing:;;;
Cell;D18;Analoge Eingänge: ;Analog inputs: ;Analoge ingangen: ;Entrées analogiques:;;;
Cell;D20;Ergebnis: ;Result: ;Resultaten: ;Résultat:;;;
Cell;D22;Makro Name: ;Macro name: ;Macro naam: ;Nom de la macro:;;;
Cell;D23;Makro: ;Macro: ;Macro: ;Macro: ;;;
;;;;;;;;
Cell;E27; Wenn gleiche Zeiten verwendet werden, dann sollten nur die ersten Zeiten eingetragen werden. Bei leeren Spalten werden die vorangegangenen Zeiten wiederholt. Das reduziert die Anzahl der Timing Parameter.;If same times are used only the first times should be entered. For empty columns, the previous times are repeated. This reduces the number of timing parameters.;Als dezelfde tijden worden gebruikt, moeten alleen de eerste tijden worden ingevoerd. Voor lege kolommen worden de vorige tijden herhaald. Dit vermindert het aantal timingparameters.; Si les mêmes heures sont utilisées, seules les premières heures doivent être entrées. Si les colonnes sont vides, les heures précédentes sont répétées. Cela réduit le nombre de paramètres de synchronisation.;;;
Cell;E28; Dauer; Duration; Tijdsduur; Durée;;;
Cell;E49; Spalte Nr  ->;Column No  ->;Kolom Nr ->; N ° de colonne ->;;;
Cell;D49; LED Nr;LED No;LED Nr;N° LED ;;;
Cell;E47;Goto Tabelle;Goto table;Goto tabel;Aller à la table;;;
;;;;;;;;
;_Name_;;;;;;;
Button;Update;Aktualisieren;Update;Vernieuwen;Mettre à jour;;;
Button;New Sheet;Neues Blatt;New sheet;Nieuw Tabblad;Nouvelle feuille;;;
;;;;;;;;
;_Range_;;;;;;;
Comment;D2;"Position der LED innerhalb der LED Kette beginnend mit 0.
Die letzte mögliche LED hat die Nummer 255.";"Position of the LED within the LED chain beginning with 0.
The last possible LED has the number 255. ";"Positie van de LED in de LED-ketting beginnend met 0.
De laatst mogelijke LED heeft het nummer 255.";Position de la LED dans la chaîne de LED commençant par 0. La dernière LED possible porte le numéro 255.;;;
Comment;D3;"Startkanal innerhalb der ersten RGB LED (0..2)
0 = Rot, 1 = Grün, 2 = Blau";Start channel within the first RGB LED (0..2)0 = red, 1 = green, 2 = blue;Start kanaal binnen de eerste RGB LED (0..2) 0 = rood, 1 = groen, 2 = blauw;Démarrer le canal dans la première LED RGB (0..2) 0 = rouge, 1 = vert, 2 = bleu;;;
Comment;D4;"Nummer des Eingangskanals (0..250).
Symbolische Namen sind auch möglich.
z.B.: SI_1 = immer an";"Number of the input channel (0..250). |
Symbolic names are also possible.|
For example: SI_1 = always on";"Nummer van het ingangskanaal (0..250). | 
Symbolische namen zijn ook mogelijk. | 
Bijvoorbeeld: SI_1 = altijd aan";"Numéro du canal d'entrée (0..250). | 
Des noms symboliques sont également possibles, | 
par exemple SI_1 = toujours activé";;;
Comment;D5;"Bestimmt die Anzahl der Ausgabekanäle. Der Wert beschreibt die Nummer der einzelnen LEDs (Eine RGB LED besteht aus 3 einzelnen LEDs). 
Wertebereich 1..100";"Determines the number of output channels. The value describes the number of the individual LEDs (one RGB LED consists of 3 individual LEDs).
Value range 1..100";"Bepaalt het aantal uitgangskanalen. De waarde beschrijft het aantal afzonderlijke LED's (een RGB-LED bestaat uit 3 afzonderlijke LED's).
Waardebereik 1..100";"Détermine le nombre de canaux de sortie. La valeur décrit le nombre de LED individuelles (une LED RVB se compose de 3 LED individuelles). 
Plage de valeurs 1..100";;;
Comment;D6;Anzahl der Bits welche für einen Helligkeitswert benutzt werden (1..8);Number of bits used for a brightness value (1..8);Aantal bits gebruikt voor een helderheidswaarde (1..8);Nombre de bits utilisés pour une valeur de luminosité (1..8);;;
Comment;D7;"Dieser Wert wird verwendet wenn in der Tabelle unten nichts oder 0 steht.
Wert Min muss zwischen 0 und 255 liegen.
Wenn ""Bits pro Wert"" 8 ist, dann wird diese Angabe nicht benutzt.";"This value is used if there is nothing or 0 in the table below.
Value Min must be between 0 and 255.
If ""bits per value"" is 8, then this value is not used.";"Deze waarde wordt gebruikt als er niets of 0 in de onderstaande tabel staat.
Waarde Min moet tussen 0 en 255 liggen.
Als ""bits per waarde"" 8 is, wordt deze waarde niet gebruikt. ";"Cette valeur est utilisée s'il n'y a rien ou 0 dans le tableau ci-dessous. 
La valeur minimale doit être comprise entre 0 et 255. 
Si ""Bits par valeur"" est égal à 8, cette entrée n'est pas utilisée.";;;
