ParName;Cnt;Type;Min;Max;Default;Options;Input Text;Hint;Implementation comment;"Input Text
English";"Hint
English";"Input Text
Dutch";"Hint
Dutch";"Input Text
French";"Hint
French";"Input Text
Italian";"Hint
Italian";"Input Text
Spanish";"Hint
Spanish";"Input Text
Duch";"Hint
Duch";
InCh;75;#;;;;;;;;;;;;;;;;;;;;
LED;67;#;;;;;;;;;;;;;;;;;;;;
Cx;13;CX;;;;;=> Dialog;;;;;;;;;;;;;;;
S_InCh;12;InpVar;0;250;#InCh+1;;Eingangsvar. Set (S_InCh);"Setzt den Zustand eines FlipFlops (1) Eingabe: Variable, ""Switch.."" , ""#InCh+1"" = nächster Eingangskanal";;Input variable set (S_InCh);"Sets the state of a flip-flop (1) Input: Variable, ""Switch .."", ""#InCh 1"" = next input channel";Invoervariabele set (S_InCh);"Stelt de status van een flip-flop in (1) Input: Variable, ""Switch .."", ""#InCh 1"" = volgend ingangskanaal";Ensemble de variables d'entrée (S_InCh);"Définit l'état d'une bascule (1) Entrée: Variable, ""Switch .."", ""#InCh 1"" = canal d'entrée suivant";Input variabile set (S_InCh);"Imposta lo stato di un flip-flop (1) Input: Variable, ""Switch .."", ""#InCh 1"" = prossimo canale di input";Conjunto de variables de entrada (S_InCh);"Establece el estado de un flip-flop (1) Entrada: Variable, ""Switch .."", ""#InCh 1"" = siguiente canal de entrada";Inputvariabelsæt (S_InCh);"Indstiller tilstanden for en flip-flop (1) Input: Variabel, ""Switch .."", ""#InCh 1"" = næste indgangskanal";
R_InCh;12;InpVar;0;250;SI_0;;Eingangsvar. Reset (R_InCh);"Löscht den Zustand eines FlipFlops (0) Eingabe: Variable, ""Switch.."" , ""#InCh+1"" = nächster Eingangskanal, ""SI_0"" = Unbenutzt";;Input variable reset (R_InCh);"Clears the state of a flip-flop (0) Input: Variable, ""Switch .."", ""#InCh 1"" = next input channel, ""SI_0"" = not used";Input variabele reset (R_InCh);"Wist de status van een flip-flop (0) Input: Variable, ""Switch .."", ""#InCh 1"" = volgend invoerkanaal, ""SI_0"" = niet gebruikt";Réinitialisation de la variable d'entrée (R_InCh);"Efface l'état d'une bascule (0) Entrée: Variable, ""Switch .."", ""#InCh 1"" = canal d'entrée suivant, ""SI_0"" = non utilisé";Reimpostazione della variabile di ingresso (R_InCh);"Cancella lo stato di un flip-flop (0) Input: Variable, ""Switch .."", ""#InCh 1"" = canale di ingresso successivo, ""SI_0"" = non utilizzato";Restablecer variable de entrada (R_InCh);"Borra el estado de un flip-flop (0) Entrada: Variable, ""Switch .."", ""#InCh 1"" = siguiente canal de entrada, ""SI_0"" = no utilizado";Nulstil indgangsvariabel (R_InCh);"Rydder status for en flip-flop (0) Input: Variabel, ""Switch .."", ""#InCh 1"" = næste indgangskanal, ""SI_0"" = ikke brugt";
InCh2;;InpVar;0;250;SI_0;;Optionaler zweiter Schalter;"Die Funktion kann per DCC/SX/CAN und zusätzlich per Taster am Arduino gesteuert werden. Eingabe: Variable, ""Switch.."", SI_0";;Optional second switch;"The function can be controlled via DCC / SX / CAN or a new switch. Input: Variable, ""Switch .."", SI_0";Optionele tweede schakelaar;"De functie kan worden bestuurd via DCC / SX / CAN of een nieuwe schakelaar. Input: Variabel, ""Switch .."", SI_0";Deuxième interrupteur en option;"La fonction peut être contrôlée via DCC / SX / CAN ou un nouveau commutateur. Entrée: variable, ""Switch .."", SI_0";Secondo interruttore opzionale;"La funzione può essere controllata tramite DCC / SX / CAN o un nuovo interruttore. Ingresso: variabile, ""Switch .."", SI_0";Segundo interruptor opcional;"La función se puede controlar a través de DCC / SX / CAN o un nuevo interruptor. Entrada: Variable, ""Switch .."", SI_0";Valgfri anden switch;"Funktionen kan styres via DCC / SX / CAN eller en ny switch. Input: Variabel, ""Switch .."", SI_0";
B_LED_Cx;12;CX;;;;;=> Dialog;;;;;;;;;;;;;;;
TimeOut;11;Time;0;1048560;5 Sek;;Abschaltzeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;shutdown;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";stopzetting;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";fermeture;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";spegnimento;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";apagar;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";lukke ned;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
Timeout;10;Time;0;1048560;30 Sek;;Abschaltzeit;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;shutdown;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";stopzetting;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";fermeture;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";spegnimento;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";apagar;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";lukke ned;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
Duration;9;Time;1;1048560;1 Min;;Dauer;Die Zeit wird in Millisekunden angegeben. Es können aber auch Sec oder Min angehängt werden. Die Maximale Zeit beträgt 17 Minuten (1048560 ms). ;;duration;"The time is given in milliseconds. However, ""Sec"" or ""Min"" can also be added. The maximum time is 17 minutes (1048560 ms).";duur;"De tijd wordt gegeven in milliseconden. ""Sec"" of ""Min"" kan echter ook worden toegevoegd. De maximale tijd is 17 minuten (1048560 ms).";durée;"Le temps est donné en millisecondes. Cependant, ""Sec"" ou ""Min"" peut également être ajouté. Le temps maximum est de 17 minutes (1048560 ms).";durata;"Il tempo è espresso in millisecondi. Tuttavia, è possibile aggiungere anche ""Sec"" o ""Min"". Il tempo massimo è di 17 minuti (1048560 ms).";duración;"El tiempo se da en milisegundos. Sin embargo, también se pueden agregar ""Sec"" o ""Min"". El tiempo máximo es de 17 minutos (1048560 ms).";varighed;"Tiden er angivet i millisekunder. Imidlertid kan ""Sec"" eller ""Min"" også tilføjes. Den maksimale tid er 17 minutter (1048560 ms).";
