AddLibNames,Config,3,22
Analog,[Pattern_Configurator1]Main,5,33
Analoges_Überblenden,[Pattern_Configurator1]Main,5,11
Arduino_IDE_Ver,Libraries,8,2
Bits_pro_Wert,[Pattern_Configurator1]Main,5,6
Color_Test_Mode,Config,3,8
DCC_Offset,Config,2,6
Ende,[Pattern_Configurator1]Main,5,42
ErsteRGBLED,[Pattern_Configurator1]Main,5,2
Expert_Mode_aktivate,Config3,12
Fast_Build_and_Upload,Config,3,21
FreeBits,[Pattern_Configurator1]Main,5,39
FreeBits_BpC	,[Pattern_Configurator1]Main,5,37
Goto_Bytes	,[Pattern_Configurator1]Main,5,41
Goto_Mode	,[Pattern_Configurator1]Main,5,12
InputCh	,[Pattern_Configurator1]Main,5,35
Kanaele	,[Pattern_Configurator1]Main,5,5
Language_Def	,Config,3,24
Last_Update_Time	,Libraries,5,3
LEDNr_Display_Type	,Config,3,9
Lib_Installed_other	,Config,3,23
Makro_Name	,[Pattern_Configurator1]Main,5,22
MaxTime_House	,Config,3,4
MinTime_House	,Config,3,3
Mode	,[Pattern_Configurator1]Main,5,10
Mode16	,[Pattern_Configurator1]Main,5,32
MouseHook	,Start,2,1
Pattern_Bytes	,[Pattern_Configurator1]Main,5,40
Pattern_u_FreeBits	,[Pattern_Configurator1]Main,5,38
SchalterNr	,[Pattern_Configurator1]Main,5,4
Select_MobaLedLib_Arduino	,Libraries,2,9
Select_MobaLedLib_Beta	,Libraries,2,11
Show_Icon_Column	,Config,3,15
Show_Macros_Column	,Config,3,17
Show_Simple_Names	,Config,3,16
Sketchbook_Path,Libraries,9,2
SortByTreeView,Lib_Macros,12,1
Start	,[Pattern_Configurator1]Main,5,34
Startkanal	,[Pattern_Configurator1]Main,5,3
StCh_FreeBits_BpC	,[Pattern_Configurator1]Main,5,36
Std_Boards_Ver	,Libraries,8,3
Test_Language	,Lib_Macros,18,1
Use_Excel_Console	,Config,3,27
USE_SPI_Communication	,Config,3,26
Use_TreeView_for_Macros	,Config,3,11
Wait_at_End,"Check Box 10"
Zeiten	,[Pattern_Configurator1]Main,5,31
